"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"LAX GIFTS","Root Category/GIRLS/ACCESSORIES & GIFTS","1","Yes","lacrosse-player-gifts","","","","","","Yes","Products only","","No","","","No layout updates",""
"Dyes","Root Category/GIRLS/EQUIPMENT","1","Yes","custom-dyed-girl-lacrosse-heads","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sports Bras","Root Category/GIRLS/LACROSSE TEES","2","Yes","sports-bra","","","Girls Lacrosse Sports Bra\'s | Animal Prints and Tie Dye Designs","","","Yes","Products only","","No","","","No layout updates",""
"Sweats","Root Category/GIRLS/LACROSSE TEES","3","Yes","sweats","","","Girls Lacrosse Sweatshirts I  Womens Lacrosse Sweat Pants I Girls Lacrosse Yoga Pants I Youth Lacrosse Pajamas I ","Girls Lacrosse Sweatshirts I  Womens Lacrosse Sweat Pants I Girls Lacrosse Yoga Pants I Youth Lacrosse Pajamas I ","Girls Lacrosse Hooded Sweatshirts - Best Price Guaranteed! Fast, Easy, FREE Shipping Orders Over $50. Top Quality & Great Selection Since 1990.","Yes","Products only","","Yes","","","No layout updates",""
"Bags","Root Category/GIRLS/EQUIPMENT","6","Yes","girls-lacrosse-bags","","","Girls Lacrosse Stick Bags | Girls Lacrosse Backpacks ","","Shop Girls Lacrosse Backpacks and Stick bags at LacrosseUnlimited.com- FREE Shipping on all qualified orders. Selection, Quality, and Service You Can Trust","Yes","Products only","","Yes","Best Value,Brand,Price,Color","","No layout updates",""
"Boxercraft Shorties","Root Category/GIRLS/LACROSSE SHORTS","2","No","cotton-blend-boxercraft","","","Cotton Blend Short Womens Lacrosse Shorts | ""Sophie Shorts""","","Girls Boxercraft Cotton Lacrosse Shorts  - Best Price Guaranteed! Fast, Easy, FREE Shipping Orders Over $50. Top Quality & Great Selection Since 1990.","No","Products only","","Yes","Brand,Price,Color","Price","No layout updates",""
"Socks","Root Category/Youth/FOOTWEAR","2","Yes","youth-lacrosse-socks","","","Youth Lacrosse Socks | Custom Youth Socks | Lacrosse Unlimited Socks | Boys Lax Socks |","","Fast, Easy, and Free Shipping Over $50. BEST PRICE GUARANTEED On Youth Lacrosse FOOTWEAR by Nike and Warrior. Lacrosse Cleats, Turfs, Volt Socks, Sandals, Slides.","Yes","Products only","","No","Brand,Price,Color","Brand","No layout updates",""
"Socks","Root Category/GIRLS/FOOTWEAR","3","Yes","socks","","","","","","Yes","Products only","","Yes","Best Value,Brand,Price,Color,gender","Best Value","No layout updates",""
"Shafts","Root Category/GIRLS/EQUIPMENT","5","Yes","shafts","","","","","","Yes","Products only","","Yes","Brand,Price,Color","Brand","No layout updates",""
"Sticks","Root Category/GIRLS/EQUIPMENT","4","Yes","womens-lacrosse-sticks","","","Womens Lacrosse Sticks | Girls Lacrosse Sticks","","Fast, Easy, and FREE SHIPPING On Orders Over $50! STX Crux Womens Lacrosse Sticks, and MUCH MORE! Shop with Confidence.","Yes","Products only","","Yes","","","No layout updates",""
