Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Custom Dyes,Root Category/Mens/Sticks/Heads,,Yes,Custom Dyes,,,Custom Dyes,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Custom Strung,Root Category/Mens/Sticks/Heads,,Yes,Custom Strung,,,Custom Strung,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Unstrung,Root Category/Mens/Sticks/Heads,,Yes,Goalie Unstrung,,,Goalie Unstrung,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Complete Sticks,Root Category/Mens/Sticks/Heads,,Yes,Complete Sticks,,,Complete Sticks,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Limited Edition,Root Category/Mens/Sticks/Shafts,,Yes,Limited Edition,,,Limited Edition,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Attack,Root Category/Mens/Sticks/Shafts,,Yes,Attack,,,Attack,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Middie,Root Category/Mens/Sticks/Shafts,,Yes,Attack,,,Attack,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Defense,Root Category/Mens/Sticks/Shafts,,Yes,Middie,,,Middie,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie,Root Category/Mens/Sticks/Shafts,,Yes,Goalie,,,Goalie,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Build a Mesh Kit,Root Category/Mens/Sticks/Mesh & Stringing,,Yes,Build a Mesh Kit,,,Build a Mesh Kit,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Attack Mesh,Root Category/Mens/Sticks/Mesh & Stringing,,Yes,Attack Mesh,,,Attack Mesh,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Mesh,Root Category/Mens/Sticks/Mesh & Stringing,,Yes,Goalie Mesh,,,Goalie Mesh,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sidewall Strings,Root Category/Mens/Sticks/Mesh & Stringing,,Yes,Sidewall Strings,,,Sidewall Strings,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shooting Strings,Root Category/Mens/Sticks/Mesh & Stringing,,Yes,Shooting Strings,,,Shooting Strings,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Traditional Strings,Root Category/Mens/Sticks/Mesh & Stringing,,Yes,Traditional Strings,,,Traditional Strings,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sticks,Root Category/Mens/Sticks/Mini Lax,,Yes,Sticks,,,Sticks,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goal Sets,Root Category/Mens/Sticks/Mini Lax,,Yes,Goal Sets,,,Goal Sets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Balls,Root Category/Mens/Sticks/Mini Lax,,Yes,Balls,,,Balls,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Complete,Root Category/Mens/Goals & Training/Goals,,Yes,Complete,,,Complete,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Foldable,Root Category/Mens/Goals & Training/Goals,,Yes,Foldable,,,Foldable,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Replacement Nets,Root Category/Mens/Goals & Training/Goals,,Yes,Replacement Nets,,,Replacement Nets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goal Accessories,Root Category/Mens/Goals & Training/Goals,,Yes,Goal Accessories,,,Goal Accessories,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Rebounders,Root Category/Mens/Goals & Training/Training ,,Yes,Rebounders,,,Rebounders,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Targets,Root Category/Mens/Goals & Training/Training ,,Yes,Targets,,,Targets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Backstops,Root Category/Mens/Goals & Training/Training,,Yes,Backstops,,,Backstops,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Single,Root Category/Mens/Goals & Training/Balls,,Yes,Single,,,Single,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Buckets,Root Category/Mens/Goals & Training/Balls,,Yes,Buckets,,,Buckets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Bulk (100+) ,Root Category/Mens/Goals & Training/Balls,,Yes,Bulk (100+) ,,,Bulk (100+) ,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Equipment Bags,Root Category/Mens/Goals & Training/Lacrosse Bags,,Yes,Equipment Bags,,,Equipment Bags,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Backpacks,Root Category/Mens/Goals & Training/Lacrosse Bags,,Yes,Backpacks,,,Backpacks,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Coaches,Root Category/Mens/Goals & Training/Lacrosse Bags,,Yes,Coaches,,,Coaches,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Custom,Root Category/Mens/Protective/Helmets,,Yes,Custom,,,Custom,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Decals,Root Category/Mens/Protective/Helmets,,Yes,Decals,,,Decals,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Acessories,Root Category/Mens/Protective/Helmets,,Yes,Acessories,,,Acessories,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
