store,websites,attribute_set,type,category_ids,sku,configurable Products <configurable>,configurable Products (attributes),has_options,status,tax_class_id,is_recurring,visibility,is_imported,brand,cleat_sizes,isflash,color,gender,socksize,rainbow_sizes,bag_size,rw_google_base_skip_submi,price,special_price,cost,weight,msrp,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,upc,videos,notification_title,rw_google_base_product_type,rw_google_base_product_categ,rw_google_base_12_digit_sku,description,short_description,meta_keyword,custom_layout_update,ugiftcert_amount_config,notification_text,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,use_config_enable_qty_increments,enable_qty_increments,is_decimal_divided,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,schools,apparelsizes,pinnie,athletic_cup_size,shoulder_size,glove_sizes,helmet_shell_colors,helmet_visor_colors,helmet_chin_colors,helmetsize,positions,age_level,arm_elbow,should_protection,google_size,goalie_protection_size,mesh_colors,head_level,shaft_sizes,mesh_type,hi_colors,gallery,minimal_price,price_,wts_gc_type,wts_gc_additional_prices,recurring_profile,price_type,sku_type,weight_type,price_view,shipment_type
admin,base,Apparel,configurable,"19,103,214,",NIKE000140,"41103501,41103502",sock_size,1,Enabled,Taxable Goods,,"Catalog, Search",No,Nike,,,,mens,,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Black/Gray,Nike Air Jordan Elephant Print Crew Socks - Black/Gray,Nike Air Jordan Elephant Print Crew Socks in Gray/Black with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Black/Gray,Nike Air Jordan Elephant Print Crew Socks - Black/Gray,Nike Air Jordan Elephant Print Crew Socks - Black/Gray,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,black,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Black/Gray,0,configurable,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,simple,"19,103,214,",41103501,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Silver,mens,MD,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-MD,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-MD,Nike Air Jordan Elephant Print Crew Socks in Gray/Black with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-MD,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-MD,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-MD,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,black,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-MD,0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,simple,"19,103,214,",41103502,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Silver,mens,LG,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-LG,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-LG,Nike Air Jordan Elephant Print Crew Socks in Gray/Black with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Black.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-LG,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-LG,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-LG,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,black,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Black/Gray-LG,0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,configurable,"19,103,214,",NIKE000137,"41103201,41103202",sock_size,1,Enabled,Taxable Goods,,"Catalog, Search",No,Nike,,,,mens,,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow,Nike Air Jordan Elephant Print Crew Socks in Gray/Yellow with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,yellow,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow,0,configurable,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,simple,"19,103,214,",41103201,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Yellow,mens,MD,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-MD,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-MD,Nike Air Jordan Elephant Print Crew Socks in Gray/Yellow with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-MD,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-MD,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-MD,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,yellow,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-MD,0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,simple,"19,103,214,",41103202,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Yellow,mens,LG,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-LG,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-LG,Nike Air Jordan Elephant Print Crew Socks in Gray/Yellow with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Yellow.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-LG,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-LG,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-LG,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,yellow,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Gray/Yellow-LG,0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,configurable,"19,103,214,",NIKE000138,"41103301,41103302",sock_size,1,Enabled,Taxable Goods,,"Catalog, Search",No,Nike,,,,mens,,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Gray/Red,Nike Air Jordan Elephant Print Crew Socks - Gray/Red,Nike Air Jordan Elephant Print Crew Socks in Gray/Red with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Gray/Red,Nike Air Jordan Elephant Print Crew Socks - Gray/Red,Nike Air Jordan Elephant Print Crew Socks - Gray/Red,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,red,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Gray/Red,0,configurable,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,simple,"19,103,214,",41103301,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Red,mens,MD,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-MD,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-MD,Nike Air Jordan Elephant Print Crew Socks in Gray/Red with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-MD,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-MD,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-MD,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,red,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-MD,0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,simple,"19,103,214,",41103302,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Red,mens,LG,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-LG,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-LG,Nike Air Jordan Elephant Print Crew Socks in Gray/Red with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Gray-Red.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-LG,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-LG,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-LG,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,red,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Gray/Red-LG,0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Apparel,configurable,"19,103,214,",NIKE000139,"41103401,41103402",sock_size,1,Enabled,Taxable Goods,,"Catalog, Search",No,Nike,,,,mens,,,,No,14.00,,,1,,Nike Air Jordan Elephant Print Crew Socks - Yellow/Gray,Nike Air Jordan Elephant Print Crew Socks - Yellow/Gray,Nike Air Jordan Elephant Print Crew Socks in Yellow/Gray with Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Yellow-Blue.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Yellow-Blue.png,/Nike-Jordan-Elephant-Print-Lacrosse-Socks-Yellow-Blue.png,,,,No layout updates,Block after Info Column,Nike Air Jordan Elephant Print Crew Socks - Yellow/Gray,Nike Air Jordan Elephant Print Crew Socks - Yellow/Gray,Nike Air Jordan Elephant Print Crew Socks - Yellow/Gray,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Comfort and Signature Style. The Nike Jordan Elephant Print Crew Socks are made with a reinforced heel and toe for durability and a cushioned design to help keep feet comfortable. Featured Technology: Dri-FIT...This high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable. Benefits: Half-cushion terry foot for comfort and shock absorption. Reinforced heel and toe for enhanced durability in high-wear areas. Embroidered Jumpman logo for style. Product Details: Fabric: 78% polyester/14% spandex/7% nylon/1% spandex. Machine wash. Imported. Limited warranty direct from Nike Lacrosse.","This sock offers high-performance, microfiber, polyester fabric wicks sweat away from the body and moves it to the fabric surface, where it evaporates. As a result, Dri-FIT fabric helps you stay dry and comfortable.","nike,jordan,jumpman,elephant print,mens,Lacrosse,lax,laxx,cleat,gray,red,crew,basketball,cool,new,durable,training,game,practice,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Nike Air Jordan Elephant Print Crew Socks - Yellow/Gray,0,configurable,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
